ID,name,taste,effects,winetype,image
1,Lemon Haze,Citrusy,Energetic,Sparkling,https://cdn.shopify.com/s/files/1/1061/0012/products/fruity_pebbles-Solo_Flower_large.jpg
2,Green Crack,Fruity,Invigorating,Sparkling,https://cdn.shopify.com/s/files/1/1061/0012/products/chocolate_diesel-Solo_Flower_large.jpg
3,Sensi Star,Earthy,Invigorating,Sparkling,https://cdn.shopify.com/s/files/1/1061/0012/products/Apple_Fritter-Solo_large.jpg
4,White Rhino,Woody,Heady,Sparkling,https://cdn.shopify.com/s/files/1/1061/0012/products/Lemon_Haze-Solo_large.jpg
5,Lemon Kush,Citrusy,Energetic,Dry White,https://cdn.shopify.com/s/files/1/1061/0012/products/abbot_kinney_og-Solo_Flower_1_large.jpg
6,Pineapple Express,Mango,Energetic,Dry White,https://cdn.shopify.com/s/files/1/1061/0012/products/headband-Solo_Flower_large.jpg
7,Amnesia Haze,Citrusy,Energetic,Dry White,https://cdn.shopify.com/s/files/1/1061/0012/products/Mango_Kush-Solo_large.jpg
8,Northern Lights,Spicy,Euphoric,Dry White,https://cdn.shopify.com/s/files/1/1061/0012/products/platinum_gsc-Solo_Flower_large.jpg
9,Mango Kush,Mango,Heady,Sweet White,https://cdn.shopify.com/s/files/1/1061/0012/products/Wedding_Cake-Solo_large.jpg
10,LA Confidential,Earthy,Calming,Sweet White,https://cdn.shopify.com/s/files/1/1061/0012/products/cactus_cooler-Solo_Flower_large.jpg
11,Tahoe OG,Earthy-Pine,Light,Sweet White,https://cdn.shopify.com/s/files/1/1061/0012/products/blue_dream-Solo_Flower_large.jpg
12,Maui Wowe,Fruity,Mellow,Sweet White,https://cdn.shopify.com/s/files/1/1061/0012/products/ACDC-GDW_Square_1_large.jpg
13,Agent Orange,SweetOrange,Strong,Sweet White,https://cdn.shopify.com/s/files/1/1061/0012/products/master_kush-Solo_Flower_large.jpg
14,Cinderella99,Fruity,Euphoric,Rose,https://cdn.shopify.com/s/files/1/1061/0012/products/Bubba_Kush-Solo_large.jpg
15,Jac kHerer,Orange-Lemon,Euphoric,Rose,https://cdn.shopify.com/s/files/1/1061/0012/products/thin_mint_gsc-Solo_Flower_large.jpg
16,Orange Kush,Tangy,Relaxing,Rose,https://cdn.shopify.com/s/files/1/1061/0012/products/purple_urkle-Solo_Flower_large.jpg
17,Buba Kush,Coffee,Sedating,Rose,https://cdn.shopify.com/s/files/1/1061/0012/products/gdw_og_kush-Solo_Flower_large.jpg
18,Dutch Treat,Earthy-Pine,Euphoric,Rose,https://cdn.shopify.com/s/files/1/1061/0012/products/pineapple_express-Solo_Flower_large.jpg
19,Durban Poison,Licorice,Clear-Deaded,Light Red,https://cdn.shopify.com/s/files/1/1061/0012/products/CBD_Kush-GDW_Square_large.jpg
20,White Widow,Earthy,Energetic,Light Red,https://cdn.shopify.com/s/files/1/1061/0012/products/nyc_sour_diesel-Solo_Flower_large.jpg
21,Vanilla Kush,Vanilla,Euphoric,Light Red,https://cdn.shopify.com/s/files/1/1061/0012/products/Tangie-Solo_large.jpg
22,Blue Dream,Berries,Relaxed,Light Red,https://cdn.shopify.com/s/files/1/1061/0012/products/banana_og-Solo_Flower_large.jpg
23,Blue Cheese,BurntCaramel,Euphoric,Light Red,https://cdn.shopify.com/s/files/1/1061/0012/products/lemon_kush-Solo_Flower_large.jpg
24,Afghani,Earthy,Heavy,Medium Red,https://cdn.shopify.com/s/files/1/1061/0012/products/blueberry_diesel-Solo_Flower_large.jpg
25,OG kush,Spicy,Energetic,Medium Red,https://cdn.shopify.com/s/files/1/1061/0012/products/green_crack-Solo_Flower_large.jpg
26,Purple Kush,Earthy,Euphoric,Medium Red,https://cdn.shopify.com/s/files/1/1061/0012/products/Champagne-Solo_large.jpg
27,Grapefruit,Citrusy,Happy,Medium Red,https://cdn.shopify.com/s/files/1/1061/0012/products/blackberry_kush-Solo_Flower_large.jpg
28,Trainwreck,Citrusy,Sedating,Medium Red,https://cdn.shopify.com/s/files/1/1061/0012/products/Lemon_Tree-Solo_large.jpg
29,Afgoo,Earthy-Pine,Sedating,Bold Red,https://cdn.shopify.com/s/files/1/1061/0012/products/Skunk_1-Solo_large.jpg
30,SageNSour,Fuel,Numbing,Bold Red,https://cdn.shopify.com/s/files/1/1061/0012/products/Sunset_Sherbert-Solo_large.jpg
31,Blackberry Kush,fuel,Numbing,Bold Red,https://cdn.shopify.com/s/files/1/1061/0012/products/White_Widow-Solo_large.jpg
32,Sunset Sherbet,Fruity,Heavy,Bold Red,https://cdn.shopify.com/s/files/1/1061/0012/products/gorilla_glue_4-Solo_Flower_large.jpg
33,Granddaddy Purple,Citrusy,Heavy,Bold Red,https://cdn.shopify.com/s/files/1/1061/0012/products/Purple_Tangie_2-Solo_large.jpg
34,BlueBerry,Herbal,Heavy,Dessert,https://cdn.shopify.com/s/files/1/1061/0012/products/Lambs_Bread-Solo_large.jpg
35,Purple Haze,Sweet-Earthy,Euphoric,Dessert,https://cdn.shopify.com/s/files/1/1061/0012/products/jack_herer-Solo_Flower_large.jpg
36,Master Kush,Earthy,Relaxed,Dessert,https://cdn.shopify.com/s/files/1/1061/0012/products/Gelato_large.jpg
37,Pineapple Trainwreck,Earthy-Fruity,Relaxed,Dessert,https://cdn.shopify.com/s/files/1/1061/0012/products/grandaddy_purple-Solo_Flower_large.jpg
38,Cheese,Cheddar,Blissful,Dessert,https://cdn.shopify.com/s/files/1/1061/0012/products/harlequin-Solo_Flower_large.jpg
